symbol,passed,close,rule_1_weekly_close_gt_weekly_sma20,rule_2_pullback_ge_3pct,rule_3_pullback_le_15pct,rule_4_new_10d_closing_high,rule_5_breakout_ge_5pct,rule_6_breakout_le_20pct,rule_7_strong_close_small_wick,rule_8_macd_line_gt_signal,rule_9_recent_macd_cross,rule_10_volume_surge_1.3x,rule_16_atr_pct_le_8,pullback_pct,atr_pct_of_close,stop_loss_10pct,sma10_exit_level,sma10_already_broken,rule_11_roe_ge_10pct,rule_12_roce_ge_10pct,rule_13_net_sales_gt_0,rule_14_net_profit_gt_0,rule_15_operating_margin_ge_10pct,roe_pct,roce_pct,operating_margin_pct
COO,False,71.71,True,True,True,False,False,True,False,False,True,False,True,4.0,2.97,64.54,71.11,False,False,False,True,False,False,4.6,6.4,-4.7
COR,False,307.9,False,False,True,False,False,True,False,True,False,False,True,1.3,2.53,277.11,303.94,False,True,True,True,True,False,45.7,10.3,1.5
COST,False,940.87,False,True,True,False,False,True,True,True,True,False,True,3.6,2.25,846.78,933.13,False,True,True,True,True,False,24.2,23.4,4.0
CPAY,False,365.79,True,False,True,False,False,True,False,True,True,False,True,2.6,3.07,329.21,358.33,False,True,True,True,True,True,30.5,17.1,50.4
CPB,False,22.08,True,True,True,False,False,True,True,False,True,False,True,7.1,3.87,19.87,22.2,True,True,False,True,True,True,14.9,9.2,10.1
CPRT,False,27.61,False,True,True,False,False,True,True,False,True,False,True,10.1,3.63,24.85,28.11,True,True,True,True,True,True,25.9,18.9,97.1
CRH,False,102.92,False,True,True,False,False,True,False,False,True,False,True,6.0,3.37,92.63,104.49,True,True,True,True,False,False,16.3,11.3,-0.5
CRL,False,224.35,True,True,True,False,False,True,False,False,True,False,True,6.4,3.74,201.92,229.38,True,False,False,True,False,True,-4.9,0.4,24.3
CRM,False,170.77,False,False,True,False,False,True,False,True,True,False,True,2.7,4.13,153.69,167.68,False,True,True,True,True,True,21.8,10.5,169.6
CRWD,False,203.08,True,True,True,False,False,True,False,True,True,False,True,8.3,5.11,182.77,198.29,False,False,False,True,True,False,-3.5,-4.1,-2.2
CSCO,False,111.94,True,True,True,False,False,True,True,False,True,False,True,10.4,3.7,100.75,114.89,True,True,True,True,True,True,20.8,13.7,32.1
CSGP,False,29.78,False,True,True,False,False,True,True,True,True,False,True,3.0,5.1,26.8,29.06,False,False,False,True,True,False,0.1,-0.8,1.1
CSX,False,50.75,True,False,True,False,False,True,False,True,True,False,True,1.3,1.82,45.68,49.54,False,True,True,True,True,True,34.2,11.0,40.4
CTAS,False,204.45,True,False,True,False,False,True,False,True,True,False,True,2.7,2.84,184.0,186.87,False,True,True,True,True,True,37.8,28.0,36.4
CTSH,False,44.77,False,False,True,True,False,True,False,True,True,False,True,2.6,4.75,40.29,43.34,False,True,True,True,True,True,14.8,20.0,15.6
CVNA,False,67.34,False,True,True,False,False,True,False,True,True,False,True,7.8,5.95,60.61,68.11,True,True,True,True,True,False,37.8,15.7,9.0
CVS,False,107.47,True,False,True,True,False,True,False,False,True,False,True,1.9,2.4,96.72,104.98,False,False,False,True,True,False,2.3,2.8,4.7
D,False,71.04,True,False,True,False,False,True,True,True,True,False,True,1.3,1.72,63.94,70.43,False,True,False,True,True,True,10.3,4.1,27.7
DAL,False,84.17,True,True,True,False,False,True,False,False,True,False,True,12.7,3.31,75.75,87.25,True,True,True,True,True,True,22.9,11.0,18.7
DASH,False,184.14,True,True,True,False,False,True,False,False,True,False,True,8.7,4.47,165.73,189.57,True,False,False,True,True,False,9.2,5.3,3.7
DDOG,False,258.69,True,True,True,False,False,True,False,False,True,False,True,9.3,5.23,232.82,261.62,True,False,False,True,True,False,2.7,-0.8,0.7
DECK,False,106.49,True,True,True,False,False,True,False,True,True,False,True,4.4,3.55,95.84,106.07,False,True,True,True,True,True,41.0,43.8,31.4
DELL,False,396.34,True,True,False,False,False,True,False,False,True,False,False,20.6,8.16,356.71,423.13,True,False,True,True,True,False,-422.8,20.2,8.3
DG,False,125.75,False,False,True,False,False,True,False,True,True,False,True,2.6,3.47,113.17,119.89,False,True,False,True,True,False,17.1,9.0,5.9
DGX,False,210.68,True,True,True,False,False,True,False,False,True,False,True,4.5,2.36,189.61,208.47,False,True,True,True,True,True,13.5,10.7,13.8
DIS,False,97.67,False,False,True,False,False,True,False,True,True,True,True,2.8,2.28,87.9,96.98,False,True,True,True,True,True,11.4,10.4,18.3
DLTR,False,125.94,True,True,True,False,False,True,False,False,True,False,True,4.0,3.74,113.35,124.59,False,True,True,True,True,False,36.6,15.5,9.5
DOV,False,214.18,False,False,True,False,False,True,False,False,True,False,True,2.2,2.58,192.76,213.95,False,True,True,True,True,True,14.6,12.5,17.7
DPZ,False,322.18,False,True,True,False,False,True,False,True,True,False,True,4.3,3.44,289.96,310.42,False,False,True,True,True,True,-15.4,76.2,20.0
DRI,False,198.53,True,True,True,False,False,True,True,False,True,False,True,5.6,3.0,178.68,200.32,True,True,True,True,True,True,49.9,13.3,12.1
DTE,False,148.19,True,True,True,False,False,True,False,False,True,False,True,5.3,1.87,133.37,149.99,True,True,False,True,True,True,11.9,4.7,11.0
DUK,False,125.01,False,True,True,False,False,True,True,False,True,True,True,4.4,1.95,112.51,126.04,True,False,False,True,True,True,9.1,4.9,49.1
DVA,False,236.97,True,False,True,True,False,True,False,False,True,False,True,2.6,2.68,213.27,233.36,False,False,True,True,True,True,-98.8,14.0,14.1
DVN,False,43.83,False,False,True,True,False,True,False,True,True,False,True,2.2,3.08,39.45,42.73,False,True,False,True,True,False,17.1,-10.4,8.6
DXCM,False,76.65,True,True,True,False,False,True,True,True,True,False,True,4.0,3.67,68.99,74.58,False,True,True,True,True,True,28.3,20.7,95.7
EA,False,208.9,True,False,True,True,False,True,True,True,False,True,True,-0.5,0.46,188.01,206.55,False,True,True,True,True,False,13.1,12.4,7.6
EBAY,False,112.06,True,True,True,False,False,True,True,False,True,False,True,7.0,2.65,100.85,114.15,True,True,True,True,True,True,46.0,17.8,20.6
ECL,False,272.83,True,True,True,False,False,True,False,False,True,False,True,5.6,2.35,245.55,274.86,True,True,True,True,True,True,20.7,14.5,15.3
ED,False,112.37,True,True,True,False,False,True,False,False,True,False,True,3.6,1.93,101.13,111.73,False,False,False,True,True,True,7.9,4.2,23.1
EFX,False,177.08,False,False,True,False,False,True,False,True,True,False,True,2.2,3.82,159.37,171.46,False,True,True,True,True,True,14.5,11.5,17.4
EIX,False,77.63,True,False,True,False,False,True,True,True,False,False,True,1.4,2.12,69.87,76.01,False,True,False,True,True,True,25.7,8.4,26.2
EL,False,82.13,False,True,True,False,False,True,False,False,True,False,True,7.2,3.61,73.92,82.51,True,True,False,True,True,False,17.1,-5.7,6.7
ELV,False,373.11,True,True,False,False,False,True,False,False,True,False,True,16.2,3.98,335.8,406.8,True,True,False,True,True,False,12.6,8.8,3.5
